,movie,year,imdb,metascore,votes,n_imdb
579,Kal Ho Naa Ho,2003,8.0,54,54429,80.0
580,Basic,2003,6.5,34,54310,65.0
581,"Legally Blonde 2: Red, White & Blonde",2003,4.7,47,53129,47.0
582,What a Girl Wants,2003,5.9,41,52970,59.0
583,Coffee and Cigarettes,2003,7.1,65,52950,71.0
584,Jeepers Creepers II,2003,5.6,36,52181,56.0
585,Out of Time,2003,6.5,63,50806,65.0
586,Duplex,2003,5.9,50,50407,59.0
587,A Tale of Two Sisters,2003,7.2,65,48419,72.0
588,Stuck on You,2003,5.8,62,47740,58.0
589,Secondhand Lions,2003,7.6,52,47085,76.0
590,Spy Kids 3: Game Over,2003,4.2,57,46580,42.0
591,Open Water,2003,5.7,63,46540,57.0
592,The Triplets of Belleville,2003,7.8,91,46271,78.0
593,Bulletproof Monk,2003,5.5,40,44885,55.0
594,American Splendor,2003,7.5,90,44567,75.0
595,The Blind Swordsman: Zatoichi,2003,7.6,75,43784,76.0
596,Gigli,2003,2.4,18,43651,24.0
597,National Security,2003,5.6,31,42778,56.0
598,Sinbad: Legend of the Seven Seas,2003,6.7,48,42068,67.0
599,The Cat in the Hat,2003,3.8,19,41794,38.0
600,A Man Apart,2003,6.1,36,41319,61.0
601,Under the Tuscan Sun,2003,6.8,52,41245,68.0
602,11:14,2003,7.2,65,40875,72.0
603,Honey,2003,5.3,37,40006,53.0
604,The Hunted,2003,6.0,40,39304,60.0
605,Swimming Pool,2003,6.8,70,38204,68.0
606,Cradle 2 the Grave,2003,5.8,36,37960,58.0
607,Down with Love,2003,6.3,52,36362,63.0
608,The Return,2003,8.0,82,36351,80.0
609,The Haunted Mansion,2003,5.0,34,36248,50.0
610,Radio,2003,6.9,38,34760,69.0
611,The Medallion,2003,5.2,38,34311,52.0
612,House of the Dead,2003,2.0,15,33906,20.0
613,Hollywood Homicide,2003,5.3,47,33392,53.0
614,Dumb and Dumberer: When Harry Met Lloyd,2003,3.4,19,32915,34.0
615,Evil,2003,7.8,61,32702,78.0
616,Bringing Down the House,2003,5.6,39,32234,56.0
617,Uptown Girls,2003,6.1,33,31935,61.0
618,Confidence,2003,6.7,59,31753,67.0
619,The Lizzie McGuire Movie,2003,5.4,56,31463,54.0
620,Shattered Glass,2003,7.2,73,30911,72.0
621,The Cooler,2003,7.0,69,30137,70.0
622,Touching the Void,2003,8.1,82,30127,81.0
623,The Missing,2003,6.5,55,29970,65.0
624,Agent Cody Banks,2003,5.1,41,29676,51.0
625,Looney Tunes: Back in Action,2003,5.7,64,28470,57.0
626,Darkness Falls,2003,5.0,23,27941,50.0
627,Anything Else,2003,6.4,43,27484,64.0
628,The Human Stain,2003,6.3,57,27266,63.0
629,The Barbarian Invasions,2003,7.7,70,26393,77.0
630,Kangaroo Jack,2003,4.4,16,26041,44.0
631,Beyond Borders,2003,6.5,32,24534,65.0
632,Tokyo Godfathers,2003,7.9,73,24190,79.0
633,From Justin to Kelly,2003,2.1,14,24174,21.0
634,A Mighty Wind,2003,7.3,81,23766,73.0
635,Ned Kelly,2003,6.5,56,23566,65.0
636,View from the Top,2003,5.2,27,23199,52.0
637,My Life Without Me,2003,7.6,57,22606,76.0
638,Kontroll,2003,7.7,72,22054,77.0
639,Capturing the Friedmans,2003,7.8,90,21473,78.0
640,The United States of Leland,2003,7.1,37,21427,71.0
641,Calendar Girls,2003,6.9,60,21071,69.0
642,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003,8.2,87,20922,82.0
643,In the Cut,2003,5.3,46,19929,53.0
644,Wonderland,2003,6.6,43,19895,66.0
645,Cold Creek Manor,2003,4.9,37,19580,49.0
646,The Corporation,2003,8.1,73,19247,81.0
647,Code 46,2003,6.2,57,19050,62.0
648,Saints and Soldiers,2003,6.8,56,18904,68.0
649,Pieces of April,2003,7.1,70,18886,71.0
650,The Best of Youth,2003,8.5,89,18326,85.0
651,Veronica Guerin,2003,6.9,55,17520,69.0
652,Malibu's Most Wanted,2003,5.1,43,17140,51.0
653,The Green Butchers,2003,7.3,54,16881,73.0
654,Head of State,2003,5.4,44,16613,54.0
655,Willard,2003,6.2,61,16192,62.0
656,The Order,2003,5.2,21,15941,52.0
657,Latter Days,2003,7.1,45,15732,71.0
658,Carandiru,2003,7.6,71,15717,76.0
659,A Guy Thing,2003,5.6,27,15396,56.0
660,One Missed Call,2003,6.2,54,15389,62.0
661,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779312,83.0
662,Kill Bill: Vol. 2,2004,8.0,83,581462,80.0
663,Million Dollar Baby,2004,8.1,86,559575,81.0
664,The Incredibles,2004,8.0,90,558400,80.0
665,Spider-Man 2,2004,7.3,83,473556,73.0
666,Harry Potter and the Prisoner of Azkaban,2004,7.9,82,453918,79.0
667,The Notebook,2004,7.9,53,449674,79.0
668,Shaun of the Dead,2004,7.9,76,447245,79.0
669,"I, Robot",2004,7.1,59,442855,71.0
670,Troy,2004,7.2,56,431466,72.0
671,The Butterfly Effect,2004,7.7,30,402937,77.0
672,The Bourne Supremacy,2004,7.8,73,392772,78.0
673,Crash,2004,7.8,69,390284,78.0
674,The Day After Tomorrow,2004,6.4,47,369491,64.0
675,Shrek 2,2004,7.2,75,358545,72.0
676,The Terminal,2004,7.3,55,347104,73.0
677,Saw,2004,7.6,46,337966,76.0
678,Collateral,2004,7.5,71,322551,75.0
679,Ocean's Twelve,2004,6.5,58,318214,65.0
680,The Machinist,2004,7.7,61,316786,77.0
681,Hotel Rwanda,2004,8.1,79,301819,81.0
682,Anchorman: The Legend of Ron Burgundy,2004,7.2,63,296740,72.0
683,The Aviator,2004,7.5,77,295123,75.0
684,Man on Fire,2004,7.7,47,294796,77.0
685,50 First Dates,2004,6.8,48,293232,68.0
686,Downfall,2004,8.2,82,289971,82.0
687,Mean Girls,2004,7.0,66,284554,70.0
688,National Treasure,2004,6.9,39,276958,69.0
689,Hellboy,2004,6.9,72,273114,69.0
690,Howl's Moving Castle,2004,8.2,80,263585,82.0
691,Meet the Fockers,2004,6.3,41,230823,63.0
692,Van Helsing,2004,6.1,35,220123,61.0
693,The Village,2004,6.5,44,216668,65.0
694,Dawn of the Dead,2004,7.3,59,213229,73.0
695,Dodgeball: A True Underdog Story,2004,6.7,55,205536,67.0
696,The Chronicles of Riddick,2004,6.7,38,198823,67.0
697,Garden State,2004,7.5,67,198049,75.0
698,Before Sunset,2004,8.1,90,195562,81.0
699,The Passion of the Christ,2004,7.2,47,195123,72.0
700,Finding Neverland,2004,7.7,67,186565,77.0
701,The Girl Next Door,2004,6.7,47,185121,67.0
702,Closer,2004,7.3,65,183917,73.0
703,A Series of Unfortunate Events,2004,6.8,62,178653,68.0
704,Napoleon Dynamite,2004,6.9,64,177387,69.0
705,EuroTrip,2004,6.6,45,177199,66.0
706,Resident Evil: Apocalypse,2004,6.2,35,169706,62.0
707,Harold & Kumar Go to White Castle,2004,7.1,64,167596,71.0
708,Sideways,2004,7.5,94,164356,75.0
709,AVP: Alien vs. Predator,2004,5.6,29,164106,56.0
710,Secret Window,2004,6.6,46,163163,66.0
711,The Life Aquatic with Steve Zissou,2004,7.3,62,158867,73.0
712,Alexander,2004,5.6,39,150054,56.0
713,Blade: Trinity,2004,5.9,38,149264,59.0
714,Shark Tale,2004,6.0,48,147998,60.0
715,King Arthur,2004,6.3,46,147871,63.0
716,Layer Cake,2004,7.4,73,146828,74.0
717,Team America: World Police,2004,7.2,64,146632,72.0
718,The Polar Express,2004,6.6,61,144015,66.0
719,13 Going on 30,2004,6.1,57,139727,61.0
720,The Punisher,2004,6.5,33,137545,65.0
721,Starsky & Hutch,2004,6.1,55,128366,61.0
722,The Grudge,2004,5.9,49,127128,59.0
723,Ray,2004,7.7,73,122729,77.0
724,Fahrenheit 9/11,2004,7.5,67,119611,75.0
725,Along Came Polly,2004,5.9,44,115027,59.0
726,White Chicks,2004,5.5,41,112649,55.0
727,Kung Fu Hustle,2004,7.8,78,111051,78.0
728,The Phantom of the Opera,2004,7.3,40,106105,73.0
729,House of Flying Daggers,2004,7.6,89,99493,76.0
730,Catwoman,2004,3.3,27,96863,33.0
731,The Manchurian Candidate,2004,6.6,76,94147,66.0
732,Super Size Me,2004,7.2,73,92990,72.0
733,The Ladykillers,2004,6.2,56,91011,62.0
734,Bridget Jones: The Edge of Reason,2004,6.0,44,90317,60.0
735,The Motorcycle Diaries,2004,7.8,75,89526,78.0
736,Primer,2004,6.9,68,85521,69.0
737,Cellular,2004,6.5,60,84955,65.0
738,Sky Captain and the World of Tomorrow,2004,6.1,64,77054,61.0
739,Around the World in 80 Days,2004,5.8,49,76177,58.0
740,Hidalgo,2004,6.7,54,72066,67.0
741,Taking Lives,2004,6.2,38,71808,62.0
742,Spanglish,2004,6.4,48,71532,64.0
743,A Cinderella Story,2004,5.9,25,71420,59.0
744,The Sea Inside,2004,8.0,74,70694,80.0
745,Garfield,2004,5.0,27,68344,50.0
746,The SpongeBob SquarePants Movie,2004,7.0,66,67336,70.0
747,A Very Long Engagement,2004,7.7,76,66828,77.0
748,The Princess Diaries 2: Royal Engagement,2004,5.8,43,63122,58.0
749,Mysterious Skin,2004,7.7,73,61262,77.0
750,District B13,2004,7.2,70,60822,72.0
751,The Forgotten,2004,5.8,43,60702,58.0
752,Walking Tall,2004,6.2,44,59504,62.0
753,I Heart Huckabees,2004,6.7,55,59458,67.0
754,Jersey Girl,2004,6.2,43,58668,62.0
755,Wimbledon,2004,6.3,59,55450,63.0
756,Ella Enchanted,2004,6.3,53,54372,63.0
757,The Stepford Wives,2004,5.3,42,53965,53.0
758,Mindhunters,2004,6.4,33,53671,64.0
759,Friday Night Lights,2004,7.3,70,52331,73.0
760,Ladder 49,2004,6.5,47,51396,65.0
761,In Good Company,2004,6.5,66,51026,65.0
762,The Chorus,2004,7.9,56,50024,79.0
763,Bad Education,2004,7.5,81,49746,75.0
764,Night Watch,2004,6.5,58,49740,65.0
765,The Whole Ten Yards,2004,5.5,24,49685,55.0
766,Wicker Park,2004,7.0,40,48801,70.0
767,Flight of the Phoenix,2004,6.1,47,48621,61.0
768,Alfie,2004,6.2,49,47026,62.0
769,Head-On,2004,8.0,78,45459,80.0
770,2046,2004,7.5,78,45420,75.0
771,Kinsey,2004,7.1,79,45030,71.0
772,Dead Man's Shoes,2004,7.7,52,44275,77.0
773,3-Iron,2004,8.1,72,43257,81.0
774,Veer-Zaara,2004,7.9,67,42529,79.0
775,Saved!,2004,6.8,62,42297,68.0
776,Miracle,2004,7.5,68,41467,75.0
777,After the Sunset,2004,6.3,38,41157,63.0
778,Without a Paddle,2004,5.9,29,40275,59.0
779,Scooby-Doo 2: Monsters Unleashed,2004,5.0,34,39503,50.0
780,Shall We Dance,2004,6.1,47,39178,61.0
781,Taxi,2004,4.5,27,36389,45.0
782,The Prince and Me,2004,5.9,47,34734,59.0
783,Tae Guk Gi: The Brotherhood of War,2004,8.1,64,34715,81.0
784,Christmas with the Kranks,2004,5.3,22,33808,53.0
785,Raising Helen,2004,6.0,38,33200,60.0
786,Seed of Chucky,2004,4.9,46,33088,49.0
787,The Libertine,2004,6.4,44,32956,64.0
788,Chasing Liberty,2004,6.1,46,32912,61.0
789,Ghost in the Shell 2: Innocence,2004,7.6,66,32352,76.0
790,Maria Full of Grace,2004,7.5,87,32170,75.0
791,The Merchant of Venice,2004,7.1,63,32106,71.0
792,Birth,2004,6.1,50,32036,61.0
793,Exorcist: The Beginning,2004,5.1,30,30692,51.0
794,The Woodsman,2004,7.2,72,29676,72.0
795,Melinda and Melinda,2004,6.5,54,29180,65.0
796,The Edukators,2004,7.5,68,28994,75.0
797,The Final Cut,2004,6.2,43,28789,62.0
798,Mean Creek,2004,7.3,74,28572,73.0
799,Envy,2004,4.8,31,28098,48.0
800,Spartan,2004,6.6,60,27822,66.0
801,Superbabies: Baby Geniuses 2,2004,2.0,9,27763,20.0
802,Club Dread,2004,5.7,45,26011,57.0
803,Torque,2004,4.0,41,25253,40.0
804,Confessions of a Teenage Drama Queen,2004,4.6,33,25242,46.0
805,Anacondas: The Hunt for the Blood Orchid,2004,4.6,40,24896,46.0
806,Raise Your Voice,2004,5.9,33,24679,59.0
807,Win a Date with Tad Hamilton!,2004,5.6,52,24631,56.0
808,You Got Served,2004,3.6,37,24467,36.0
809,Dirty Dancing: Havana Nights,2004,6.0,39,24334,60.0
810,The Assassination of Richard Nixon,2004,7.0,63,24289,70.0
811,Godsend,2004,4.8,24,23526,48.0
812,A Love Song for Bobby Long,2004,7.2,48,23496,72.0
813,Millions,2004,6.9,74,23204,69.0
814,Vera Drake,2004,7.7,83,21788,77.0
815,The Perfect Score,2004,5.7,35,21452,57.0
816,Laws of Attraction,2004,5.9,38,20352,59.0
817,Dear Frankie,2004,7.8,63,19976,78.0
818,Soul Plane,2004,4.4,33,19739,44.0
819,Nobody Knows,2004,8.1,88,19737,81.0
820,9 Songs,2004,4.8,43,19694,48.0
821,Surviving Christmas,2004,5.4,19,19646,54.0
822,New York Minute,2004,4.9,33,19451,49.0
823,First Daughter,2004,5.0,31,19103,50.0
824,Vanity Fair,2004,6.2,53,18682,62.0
825,Bride & Prejudice,2004,6.2,55,18594,62.0
826,Batman Begins,2005,8.3,70,1133068,83.0
827,V for Vendetta,2005,8.2,62,910747,82.0
828,Sin City,2005,8.0,74,701630,80.0
829,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608054,76.0
830,Harry Potter and the Goblet of Fire,2005,7.7,81,454846,77.0
831,Mr. & Mrs. Smith,2005,6.5,55,396371,65.0
832,War of the Worlds,2005,6.5,73,371460,65.0
833,Charlie and the Chocolate Factory,2005,6.7,72,368387,67.0
834,King Kong,2005,7.2,81,352425,72.0
835,The 40-Year-Old Virgin,2005,7.1,73,347719,71.0
836,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,75,323754,69.0
837,Madagascar,2005,6.9,57,309621,69.0
838,Wedding Crashers,2005,7.0,64,304192,70.0
839,Fantastic Four,2005,5.7,40,288343,57.0
840,Brokeback Mountain,2005,7.7,87,287566,77.0
841,The Island,2005,6.9,50,281980,69.0
842,Lord of War,2005,7.6,62,269500,76.0
843,Hitch,2005,6.6,58,268636,66.0
844,Constantine,2005,7.0,50,264130,70.0
845,Serenity,2005,7.9,74,261483,79.0
846,Kingdom of Heaven,2005,7.2,63,241338,72.0
847,Pride & Prejudice,2005,7.8,82,218820,78.0
848,Corpse Bride,2005,7.4,83,214105,74.0
849,Saw II,2005,6.6,40,210031,66.0
850,Walk the Line,2005,7.9,72,204864,79.0
851,A History of Violence,2005,7.5,81,204359,75.0
852,Thank You for Smoking,2005,7.6,71,202389,76.0
853,Kiss Kiss Bang Bang,2005,7.6,72,195544,76.0
854,Munich,2005,7.6,74,192600,76.0
855,Match Point,2005,7.7,72,184946,77.0
856,The Descent,2005,7.2,71,176476,72.0
857,Transporter 2,2005,6.3,56,173203,63.0
858,The Hitchhiker's Guide to the Galaxy,2005,6.8,63,171100,68.0
859,Cinderella Man,2005,8.0,69,161486,80.0
860,Jarhead,2005,7.0,58,157132,70.0
861,Hostel,2005,5.9,55,153293,59.0
862,The Longest Yard,2005,6.4,48,144906,64.0
863,Hard Candy,2005,7.1,58,142948,71.0
864,Flightplan,2005,6.3,53,138549,63.0
865,Green Street Hooligans,2005,7.5,55,129894,75.0
866,Memoirs of a Geisha,2005,7.4,54,128144,74.0
867,The Constant Gardener,2005,7.4,82,121240,74.0
868,Fun with Dick and Jane,2005,6.1,47,121062,61.0
869,Four Brothers,2005,6.9,49,120807,69.0
870,Syriana,2005,6.9,76,117620,69.0
871,Æon Flux,2005,5.5,36,116948,55.0
872,Robots,2005,6.3,64,116773,63.0
873,Capote,2005,7.4,88,112610,74.0
874,The Curse of the Were-Rabbit,2005,7.5,87,110338,75.0
875,The Brothers Grimm,2005,5.9,51,107262,59.0
876,The Exorcism of Emily Rose,2005,6.7,46,107081,67.0
877,Coach Carter,2005,7.3,57,105486,73.0
878,House of Wax,2005,5.3,41,103892,53.0
879,Red Eye,2005,6.5,71,102121,65.0
880,The Jacket,2005,7.1,44,100855,71.0
881,Hostage,2005,6.6,44,99820,66.0
882,The Skeleton Key,2005,6.5,47,96473,65.0
883,Doom,2005,5.2,34,95445,52.0
884,The Amityville Horror,2005,6.0,33,94996,60.0
885,Just Friends,2005,6.2,47,92815,62.0
886,Brick,2005,7.4,72,92202,74.0
887,Unleashed,2005,7.0,58,91687,70.0
888,The Interpreter,2005,6.4,62,91246,64.0
889,Just Like Heaven,2005,6.7,47,90097,67.0
890,Broken Flowers,2005,7.2,79,89260,72.0
891,"Good Night, and Good Luck.",2005,7.5,80,88479,75.0
892,Land of the Dead,2005,6.2,71,84698,62.0
893,Sahara,2005,6.0,41,84012,60.0
894,The Devil's Rejects,2005,6.9,53,83172,69.0
895,The Ring Two,2005,5.4,44,81885,54.0
896,The Legend of Zorro,2005,5.9,47,81732,59.0
897,Revolver,2005,6.5,25,81499,65.0
898,Waiting...,2005,6.8,30,81284,68.0
899,Zathura: A Space Adventure,2005,6.2,67,79650,62.0
900,Elektra,2005,4.7,34,78901,47.0
901,The New World,2005,6.7,69,76675,67.0
902,The Pacifier,2005,5.6,30,76528,56.0
903,Hide and Seek,2005,5.9,35,76050,59.0
904,Chicken Little,2005,5.8,48,74130,58.0
905,The Weather Man,2005,6.6,61,73179,66.0
906,The Dukes of Hazzard,2005,5.1,33,70787,51.0
907,Assault on Precinct 13,2005,6.3,54,69402,63.0
908,Sky High,2005,6.2,62,69202,62.0
909,Into the Blue,2005,5.8,45,68205,58.0
910,Stay,2005,6.9,41,67958,69.0
911,The Squid and the Whale,2005,7.4,82,67442,74.0
912,Derailed,2005,6.6,40,66555,66.0
913,Caché,2005,7.3,83,63360,73.0
914,Bewitched,2005,4.8,34,63275,48.0
915,Be Cool,2005,5.7,37,63181,57.0
916,A Lot Like Love,2005,6.6,48,62855,66.0
917,Elizabethtown,2005,6.4,45,62773,64.0
918,Lady Vengeance,2005,7.6,75,61511,76.0
919,Wolf Creek,2005,6.3,54,61276,63.0
920,Domino,2005,6.0,36,61223,60.0
921,xXx: State of the Union,2005,4.4,37,61134,44.0
922,Miss Congeniality 2: Armed & Fabulous,2005,5.1,34,59472,51.0
923,Harsh Times,2005,6.9,56,58641,69.0
924,Nanny McPhee,2005,6.6,59,58054,66.0
925,Goal! The Dream Begins,2005,6.7,53,55548,67.0
926,In Her Shoes,2005,6.5,60,55461,65.0
927,Dark Water,2005,5.6,52,54788,56.0
928,The Family Stone,2005,6.3,56,54167,63.0
929,Everything Is Illuminated,2005,7.5,58,53900,75.0
930,March of the Penguins,2005,7.6,79,51722,76.0
931,Hoodwinked!,2005,6.5,45,50681,65.0
932,Monster-in-Law,2005,5.5,31,49414,55.0
933,The Sisterhood of the Traveling Pants,2005,6.5,66,49058,65.0
934,Stealth,2005,5.0,35,48435,50.0
935,Cheaper by the Dozen 2,2005,5.5,34,48215,55.0
936,Casanova,2005,6.5,57,48048,65.0
937,Lords of Dogtown,2005,7.1,56,47858,71.0
938,The World's Fastest Indian,2005,7.8,68,47690,78.0
939,Son of the Mask,2005,2.2,20,46797,22.0
940,Grizzly Man,2005,7.8,87,46487,78.0
941,Rumor Has It...,2005,5.5,35,46100,55.0
942,The Proposition,2005,7.4,73,46039,74.0
943,Rent,2005,7.0,53,45077,70.0
944,Deuce Bigalow: European Gigolo,2005,4.6,23,44450,46.0
945,White Noise,2005,5.5,30,44412,55.0
946,The Wedding Date,2005,6.1,32,43237,61.0
947,The Matador,2005,6.8,65,42065,68.0
948,Herbie Fully Loaded,2005,4.8,47,40515,48.0
949,Adam's Apples,2005,7.8,51,40211,78.0
950,Get Rich or Die Tryin',2005,5.2,45,40008,52.0
951,Two for the Money,2005,6.2,50,39813,62.0
952,Proof,2005,6.8,64,39772,68.0
953,Alone in the Dark,2005,2.3,9,39635,23.0
954,Fever Pitch,2005,6.2,56,38970,62.0
955,Transamerica,2005,7.4,66,38347,74.0
956,The Producers,2005,6.4,52,37575,64.0
957,Prime,2005,6.2,58,37392,62.0
958,Guess Who,2005,5.9,49,36938,59.0
959,Three Burials,2005,7.4,77,36199,74.0
960,North Country,2005,7.3,68,35867,73.0
961,Hustle & Flow,2005,7.4,68,35844,74.0
962,The Ringer,2005,5.8,46,32966,58.0
963,Me and You and Everyone We Know,2005,7.3,76,32962,73.0
964,Kicking & Screaming,2005,5.6,45,32867,56.0
965,The Protector,2005,7.1,52,32529,71.0
966,BloodRayne,2005,2.9,18,31999,29.0
967,The Fog,2005,3.6,27,31770,36.0
968,The Cave,2005,5.1,30,31657,51.0
969,Keeping Mum,2005,6.8,53,30605,68.0
970,C.R.A.Z.Y.,2005,8.0,81,29461,80.0
971,Tideland,2005,6.5,26,29140,65.0
972,Angel-A,2005,7.1,48,29020,71.0
973,Must Love Dogs,2005,5.9,46,28359,59.0
974,Cursed,2005,5.0,31,28092,50.0
975,Oliver Twist,2005,6.9,65,28086,69.0
976,Boogeyman,2005,4.2,32,27926,42.0
977,Feast,2005,6.4,43,27350,64.0
978,An Unfinished Life,2005,7.0,49,26335,70.0
979,Tsotsi,2005,7.3,70,26274,73.0
980,Imagine Me & You,2005,6.8,49,26184,68.0
981,The Perfect Man,2005,5.5,27,25769,55.0
982,Are We There Yet?,2005,4.6,27,25542,46.0
983,The Greatest Game Ever Played,2005,7.5,55,24771,75.0
984,Joyeux Noel,2005,7.8,70,24525,78.0
985,Cry Wolf,2005,5.9,39,24362,59.0
986,The Adventures of Sharkboy and Lavagirl 3-D,2005,3.5,38,24300,35.0
987,Sophie Scholl: The Final Days,2005,7.6,76,24299,76.0
988,"Yours, Mine & Ours",2005,5.4,38,23988,54.0
989,An American Haunting,2005,5.0,38,23330,50.0
990,The Man,2005,5.6,33,23211,56.0
991,Shopgirl,2005,6.4,62,22324,64.0
992,Ice Princess,2005,6.0,55,22083,60.0
993,The Ice Harvest,2005,6.3,62,21859,63.0
994,Mirrormask,2005,6.9,55,21326,69.0
995,Man of the House,2005,5.4,35,21244,54.0
996,The Departed,2006,8.5,85,1016461,85.0
997,The Prestige,2006,8.5,66,1003555,85.0
998,300,2006,7.7,52,668543,77.0
999,Pirates of the Caribbean: Dead Man's Chest,2006,7.3,53,588606,73.0
1000,Pan's Labyrinth,2006,8.2,98,544829,82.0
1001,Casino Royale,2006,8.0,80,519674,80.0
1002,Blood Diamond,2006,8.0,64,445917,80.0
1003,X-Men: The Last Stand,2006,6.7,58,431731,67.0
1004,Children of Men,2006,7.9,84,407054,79.0
1005,Little Miss Sunshine,2006,7.8,80,394698,78.0
1006,The Pursuit of Happyness,2006,8.0,64,386527,80.0
1007,The Da Vinci Code,2006,6.6,46,357450,66.0
1008,The Illusionist,2006,7.6,68,327232,76.0
1009,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,89,321966,73.0
1010,The Devil Wears Prada,2006,6.9,62,321672,69.0
1011,Cars,2006,7.1,73,306140,71.0
1012,The Lives of Others,2006,8.4,89,305193,84.0
1013,Inside Man,2006,7.6,76,300929,76.0
1014,Mission: Impossible III,2006,6.9,66,286325,69.0
1015,Lucky Number Slevin,2006,7.8,53,282318,78.0
1016,Click,2006,6.4,45,272859,64.0
1017,Night at the Museum,2006,6.4,48,270787,64.0
1018,Deja Vu,2006,7.1,59,266142,71.0
1019,Babel,2006,7.5,69,265374,75.0
1020,Apocalypto,2006,7.8,68,261271,78.0
1021,Superman Returns,2006,6.1,72,255069,61.0
1022,Ice Age: The Meltdown,2006,6.8,58,221865,68.0
1023,Crank,2006,7.0,57,214735,70.0
1024,Perfume: The Story of a Murderer,2006,7.5,56,210823,75.0
1025,The Fountain,2006,7.3,51,210193,73.0
1026,The Fast and the Furious: Tokyo Drift,2006,6.0,45,208062,60.0
1027,The Holiday,2006,6.9,52,207753,69.0
1028,Stranger Than Fiction,2006,7.6,67,202067,76.0
1029,Silent Hill,2006,6.6,31,195845,66.0
1030,Rocky Balboa,2006,7.2,63,180837,72.0
1031,Underworld: Evolution,2006,6.7,36,174568,67.0
1032,The Last King of Scotland,2006,7.7,74,160223,77.0
1033,Saw III,2006,6.2,48,160035,62.0
1034,Happy Feet,2006,6.5,77,150519,65.0
1035,Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,66,146412,66.0
1036,The Hills Have Eyes,2006,6.4,52,143878,64.0
1037,Letters from Iwo Jima,2006,7.9,89,142627,79.0
1038,Over the Hedge,2006,6.7,67,141433,67.0
1039,She's the Man,2006,6.4,45,130867,64.0
1040,Smokin' Aces,2006,6.7,45,128663,67.0
1041,The Lake House,2006,6.8,52,124940,68.0
1042,Idiocracy,2006,6.6,66,124525,66.0
1043,Snakes on a Plane,2006,5.5,58,123016,55.0
1044,Clerks II,2006,7.4,65,121812,74.0
1045,16 Blocks,2006,6.6,63,119139,66.0
1046,Final Destination 3,2006,5.8,41,115122,58.0
1047,Eragon,2006,5.1,38,114817,51.0
1048,Accepted,2006,6.5,47,113734,65.0
1049,The Break-Up,2006,5.8,45,112143,58.0
1050,Flags of our Fathers,2006,7.1,79,108914,71.0
1051,This Is England,2006,7.7,86,107074,77.0
1052,Scary Movie 4,2006,5.1,40,102950,51.0
1053,Step Up,2006,6.5,48,100979,65.0
1054,Miami Vice,2006,6.0,65,99972,60.0
1055,The Fall,2006,7.9,64,98498,79.0
1056,Little Children,2006,7.5,75,98357,75.0
1057,A Scanner Darkly,2006,7.1,73,97273,71.0
1058,Flushed Away,2006,6.6,74,97107,66.0
1059,The Queen,2006,7.3,91,94774,73.0
1060,Tenacious D in The Pick of Destiny,2006,6.8,55,93689,68.0
1061,Alpha Dog,2006,6.9,53,93150,69.0
1062,Running Scared,2006,7.4,41,92410,74.0
1063,Rescue Dawn,2006,7.3,77,92148,73.0
1064,The Good Shepherd,2006,6.7,61,92139,67.0
1065,United 93,2006,7.6,90,89881,76.0
1066,Marie Antoinette,2006,6.4,65,89704,64.0
1067,Poseidon,2006,5.6,50,89006,56.0
1068,Lady in the Water,2006,5.6,36,86643,56.0
1069,Volver,2006,7.6,84,84933,76.0
1070,Monster House,2006,6.6,68,84230,66.0
1071,The Painted Veil,2006,7.5,69,83630,75.0
1072,The Guardian,2006,6.9,53,80966,69.0
1073,The Host,2006,7.0,85,80515,70.0
1074,A Good Year,2006,7.0,47,79351,70.0
1075,Half Nelson,2006,7.2,85,78097,72.0
1076,Cashback,2006,7.2,54,77866,72.0
1077,An Inconvenient Truth,2006,7.5,75,75230,75.0
1078,Ultraviolet,2006,4.4,18,74949,44.0
1079,Open Season,2006,6.1,49,74666,61.0
1080,Scoop,2006,6.7,48,73991,67.0
1081,John Tucker Must Die,2006,5.8,41,73335,58.0
1082,"You, Me and Dupree",2006,5.6,46,73256,56.0
1083,Nacho Libre,2006,5.7,52,72829,57.0
1084,The Pink Panther,2006,5.6,38,72775,56.0
1085,World Trade Center,2006,6.0,66,72305,60.0
1086,Grandma's Boy,2006,7.0,33,72171,70.0
1087,Notes on a Scandal,2006,7.4,73,69167,74.0
1088,Slither,2006,6.5,69,67508,65.0
1089,Fearless,2006,7.7,70,67325,77.0
1090,The Black Dahlia,2006,5.6,49,66899,56.0
1091,"Paris, je t'aime",2006,7.3,66,66576,73.0
1092,Black Book,2006,7.8,71,66115,78.0
1093,The Science of Sleep,2006,7.3,70,64748,73.0
1094,Failure to Launch,2006,5.6,47,64422,56.0
1095,Dreamgirls,2006,6.5,76,62314,65.0
1096,The Texas Chainsaw Massacre: The Beginning,2006,5.9,30,61928,59.0
1097,Jackass Number Two,2006,7.1,66,61227,71.0
1098,Beerfest,2006,6.3,46,59209,63.0
1099,Invincible,2006,7.1,63,58130,71.0
1100,The Wicker Man,2006,3.7,36,57936,37.0
